reference no	sample no	contributor	enterer	created	sample name	country	state	ecozone	region	land mass	latitude	longitude	altitude value	altitude unit	habitat	altered habitat	fragment size	protection	disturbance	MAT	CMT	WMT	MAP	nets or traps	net or trap nights	site area	basal area	mass per species (g)	mass per individual (g)	individuals	richness	singletons	dominance	top 2 species	Fisher's alpha	geometric series k	Shannon's H	Hurlbert's PIE	Good's u
650	1300	John Alroy	John Alroy	2015-02-19 14:40:00	Mata do Hospital Santa Casa	Brazil	Minas Gerais	Neotropic	South America	continent	-21.77	-43.35			tropical/subtropical dry broadleaf forest	secondary forest	< 10 ha	unprotected		19.000			1500.0	4	20			30.73	52.21	82	6	0	0.390	0.780	1.490	0.6229	1.3592	0.6781	1.0000
1166	1694	John Alroy	John Alroy	2015-07-08 17:00:24	Private Natural Heritage Reserve Fazenda Almas	Brazil	Paraíba	Neotropic	South America	continent	-7.47	-36.89	650	meters	desert/xeric shrubland			nature reserve		28	26.000	30.000	650.0					13.54	20.88	200	32	10	0.215	0.430	10.755	0.8857	2.6136	0.8797	0.9506
1167	1695	John Alroy	John Alroy	2015-07-08 17:23:09	Montes Azules Biosphere Reserve (partially surrounded, secondary forest)	Mexico	Chiapas	Neotropic	Central America	continent	16.77	-91.14	350	meters	tropical/subtropical moist broadleaf forest	secondary forest		biosphere reserve		24.700			2000.0	3	144			18.18	18.25	1074	24	0	0.172	0.345	4.354	0.8465	2.4816	0.8852	1.0000
1167	1696	John Alroy	John Alroy	2015-07-08 17:24:25	Montes Azules Biosphere Reserve (partially surrounded, rainforest)	Mexico	Chiapas	Neotropic	Central America	continent	16.77	-91.14	350	meters	tropical/subtropical moist broadleaf forest			biosphere reserve		24.700			2000.0	3	144			18.03	29.10	1384	34	2	0.131	0.262	6.300	0.8543	2.8993	0.9255	0.9986
1168	1697	John Alroy	John Alroy	2015-07-08 20:12:27	Curió  Municipal Natural Park	Brazil	Rio de Janeiro	Neotropic	South America	continent	-22.60	-43.71	343	meters	tropical/subtropical dry broadleaf forest	secondary forest				21.700	18.000	28.000	1400.0	6	72			21.94	35.88	1490	36	8	0.234	0.468	6.646	0.8460	2.2939	0.8455	0.9946
1169	1698	John Alroy	John Alroy	2015-07-09 08:45:27	Lake Uauaçu (terra firme, low-water)	Brazil	Amazonas	Neotropic	South America	continent	-4.23	-62.27			tropical/subtropical moist broadleaf forest								2600.0	10	100			19.95	42.83	498	38	6	0.251	0.502	9.569	0.8777	2.4525	0.8475	0.9880
1171	1700	John Alroy	John Alroy	2015-07-09 15:03:46	Misantla (bats, dry season)	Mexico	Veracruz	Neotropic	Central America	continent	19.85	-96.87	585	meters	tropical/subtropical moist broadleaf forest					23.000			2036.0		147			19.11	17.86	222	32	8	0.140	0.279	10.257	0.8951	3.0030	0.9314	0.9640
1173	1704	John Alroy	John Alroy	2015-07-09 16:35:26	San Gabriel Mixtepec	Mexico	Oaxaca	Neotropic	Central America	continent	15.83	-96.23	1000	meters	tropical/subtropical dry broadleaf forest					25	22.000	28.000	1850.0	4	144			25.48	31.63	1082	20	0	0.213	0.427	3.483	0.8252	2.3999	0.8730	1.0000
1195	1729	John Alroy	John Alroy	2015-08-16 16:47:29	Lacandona (riparian mature)	Mexico	Chiapas	Neotropic	Central America	continent	16.07	-90.75			tropical/subtropical moist broadleaf forest			biosphere reserve		24.000			3000.0	5	90			18.96	31.14	868	46	12	0.130	0.260	10.360	0.9003	2.9255	0.9265	0.9862
1195	1730	John Alroy	John Alroy	2015-08-16 16:54:35	Lacandona (riparian pasture)	Mexico	Chiapas	Neotropic	Central America	continent	16.07	-90.75			tropical/subtropical moist broadleaf forest	pasture				24.000			3000.0	5	90			21.90	24.74	1770	42	8	0.178	0.356	7.722	0.8691	2.6839	0.8994	0.9955
1199	1734	John Alroy	John Alroy	2015-08-16 18:58:46	Quinta da Boa Vista	Brazil	Rio de Janeiro	Neotropic	South America	continent	-22.90	-43.22	250	meters	tropical/subtropical dry broadleaf forest	inhabited area		unprotected		23.500	21.300	28.700	1107.0		579			22.91	51.73	5856	38	6	0.214	0.429	5.443	0.8246	2.2914	0.8516	0.9990
1200	1735	John Alroy	John Alroy	2015-08-16 20:18:30	Médio Rio Teles Pires	Brazil	Mato Grosso	Neotropic	South America	continent	-10.97	-55.76	250	meters	tropical/subtropical dry broadleaf forest					24.000			2500.0	12	432			19.80	27.74	674	66	22	0.129	0.258	18.118	0.9336	3.2471	0.9393	0.9674
1202	1737	John Alroy	John Alroy	2015-08-17 17:18:10	Base (wet season)	Brazil	Paraná	Neotropic	South America	continent	-22.75	-53.25			tropical/subtropical dry broadleaf forest	secondary forest	< 10 ha	unprotected		20.000			1343.0	8	96			27.42	34.80	206	22	2	0.160	0.320	6.237	0.8466	2.6358	0.9056	0.9905
1203	1738	John Alroy	John Alroy	2015-08-17 19:48:26	Valle de Pozuzo	Peru	Oxapampa	Neotropic	South America	continent	-10.07	-75.55	1050	meters	tropical/subtropical moist broadleaf forest					22.600			2300.0		72			18.77	22.68	512	84	18	0.070	0.141	28.568	0.9577	3.8346	0.9664	0.9650
1204	1739	John Alroy	John Alroy	2015-08-22 15:11:37	Parque Provincial Potrero de Yala	Argentina	Jujuy	Neotropic	South America	continent	-24.10	-65.47	1975	meters	temperate broadleaf/mixed forest			national/state park		15.900			1283.0		28			11.02	11.48	88	14	4	0.216	0.432	4.693	0.7973	2.2459	0.8647	0.9545
1205	1740	John Alroy	John Alroy	2015-08-22 15:30:47	Sierra de San Javier	Argentina	Tucumán	Neotropic	South America	continent	-26.78	-65.35	1200	meters	temperate broadleaf/mixed forest					16.200			1350.0					12.36	16.43	1854	12	2	0.456	0.912	1.718	0.5419	1.0526	0.5817	0.9989
1206	1741	John Alroy	John Alroy	2015-08-26 20:23:47	Parque Nacional Cerros de Amotape	Peru	Zarumilla	Neotropic	South America	continent	-3.82	-80.26	347	meters	tropical/subtropical dry broadleaf forest			national/state park					1450.0					17.65	22.98	1558	66	16	0.211	0.421	13.975	0.9147	2.8044	0.8888	0.9897
1207	1742	John Alroy	John Alroy	2015-08-26 20:42:53	Santuario de Fauna y Flora Otún Quimbaya	Colombia		Neotropic	South America	continent	4.75	-75.77	1950	meters	tropical/subtropical moist broadleaf forest	secondary forest				15.200			2724.0	6	132			18.20	20.88	706	40	8	0.136	0.272	9.185	0.8896	2.9087	0.9227	0.9887
1208	1743	John Alroy	John Alroy	2015-08-26 21:02:29	Santuario de Vida Silvestre Cavernas de Repechón (cultivo)	Bolivia		Neotropic	South America	continent	-17.06	-65.47	450	meters	tropical/subtropical moist broadleaf forest	cropland				24.600			5942.0	10	200			20.73	23.46	1542	56	16	0.285	0.571	11.393	0.8952	2.5071	0.8276	0.9896
1208	1744	John Alroy	John Alroy	2015-08-26 21:08:48	Santuario de Vida Silvestre Cavernas de Repechón (barbecho)	Bolivia		Neotropic	South America	continent	-17.06	-65.47	450	meters	tropical/subtropical moist broadleaf forest	cropland				24.600			5942.0	10	200			22.92	20.64	720	40	12	0.374	0.747	9.132	0.8664	1.9194	0.7175	0.9833
1208	1745	John Alroy	John Alroy	2015-08-26 21:11:17	Santuario de Vida Silvestre Cavernas de Repechón (bosque joven)	Bolivia		Neotropic	South America	continent	-17.06	-65.47	450	meters	tropical/subtropical moist broadleaf forest	secondary forest				24.600			5942.0	10	200			21.40	20.97	1368	52	10	0.365	0.731	10.703	0.8853	2.0064	0.7292	0.9927
1208	1746	John Alroy	John Alroy	2015-08-26 21:13:56	Santuario de Vida Silvestre Cavernas de Repechón (bosque maduro)	Bolivia		Neotropic	South America	continent	-17.06	-65.47	450	meters	tropical/subtropical moist broadleaf forest	secondary forest				24.600			5942.0	10	200			22.72	21.65	1466	50	18	0.383	0.767	10.014	0.8788	1.8270	0.7029	0.9877
1214	1753	John Alroy	John Alroy	2015-09-12 17:46:17	Comalcalco	Mexico	Tabasco	Neotropic	Central America	continent	18.38	-93.39	10	meters	tropical/subtropical moist broadleaf forest	secondary forest				26.400			1805.0	4	40			20.51	31.18	652	26	4	0.141	0.282	5.418	0.8345	2.3972	0.8858	0.9939
1215	1754	John Alroy	John Alroy	2015-09-12 18:12:26	Serra da Guia	Brazil	Sergipe	Neotropic	South America	continent	-9.80	-37.68	525	meters	desert/xeric shrubland			unprotected		26.200			573.0	10	360			13.79	14.88	314	24	6	0.172	0.344	6.047	0.8408	2.5028	0.8932	0.9810
1218	1757	John Alroy	John Alroy	2015-09-12 19:58:34	Morro do Coco	Brazil	Rio Grande do Sul	Neotropic	South America	continent	-30.27	-51.05			tropical/subtropical dry broadleaf forest					19.500			1300.0	8	576			20.31	23.08	232	18	4	0.237	0.474	4.558	0.7900	2.3266	0.8604	0.9828
1221	1760	John Alroy	John Alroy	2015-09-16 20:00:12	Kurupukari	Guyana		Neotropic	South America	continent	4.67	-58.67			tropical/subtropical moist broadleaf forest					26.100			3052.0					16.91	16.47	274	66	24	0.099	0.197	27.600	0.9506	3.7235	0.9636	0.9127
2517	2822	John Alroy	John Alroy	2017-11-30 12:49:48	El Chorro (mist nets)	Mexico	Oaxaca	Neotropic	Central America	continent	16.87	-97.89	860	meters	tropical/subtropical dry broadleaf forest					24.200			2331.0	4	88			17.52	19.42	736	34	6	0.223	0.446	7.369	0.8568	2.7072	0.8838	0.9919
2517	2824	John Alroy	John Alroy	2017-11-30 12:59:29	Carrizal Viejo (mist nets)	Mexico	Oaxaca	Neotropic	Central America	continent	16.87	-97.90	860	meters	tropical/subtropical dry broadleaf forest					24.200			2331.0	4	88			20.08	26.66	264	24	2	0.129	0.258	6.415	0.8579	2.7527	0.9193	0.9925
2521	2828	John Alroy	John Alroy	2017-12-01 13:47:30	Aguas Claras Camp (mist nets)	Peru		Neotropic	South America	continent	-12.96	-68.91			tropical/subtropical savanna					25.000			2000.0		59			15.71	18.01	126	38	12	0.103	0.206	18.477	0.9330	3.2707	0.9476	0.9060
2521	2830	John Alroy	John Alroy	2017-12-01 14:30:58	Cocha Paujil (mist nets)	Peru		Neotropic	South America	continent	-12.89	-68.89			tropical/subtropical savanna					25.000			2000.0		47			19.89	19.49	46	24	16	0.109	0.217	20.246	0.9324	2.9511	0.9353	0.6522
2521	2832	John Alroy	John Alroy	2017-12-01 14:50:26	Refugio Juliaca (mist nets)	Peru		Neotropic	South America	continent	-12.96	-68.89			tropical/subtropical savanna					25.000			2000.0		30			18.20	22.73	62	28	14	0.065	0.129	19.667	0.9500	3.1433	0.9498	0.7763
2717	2879	John Alroy	John Alroy	2018-04-11 15:28:06	Caju Private Natural Heritage Reserve	Brazil	Sergipe	Neotropic	South America	continent	-11.10	-37.18			tropical/subtropical dry broadleaf forest	fragment	100 - 1000 ha	nature reserve		26.000			1400.0	10	100			15.28	27.82	382	32	6	0.149	0.298	8.314	0.8777	2.7322	0.9044	0.9844
2718	2880	John Alroy	John Alroy	2018-04-12 19:33:06	Parque Estatal La Sierra	Mexico	Tabasco	Neotropic	Central America	continent	17.50	-92.80			tropical/subtropical moist broadleaf forest				agriculture,grazing,selective logging	22.000			3500.0	6	972			17.61	18.81	2896	54	8	0.184	0.367	9.422	0.8883	2.8217	0.9064	0.9972
2719	2881	John Alroy	John Alroy	2018-04-13 10:11:52	Negra Hipólita	Venezuela		Neotropic	South America	continent	10.21	-68.00	479	meters	tropical/subtropical dry broadleaf forest	fragment				23.000			964.0	4	24			18.17	40.59	418	22	4	0.234	0.469	4.945	0.8039	2.1987	0.8489	0.9905
2720	2882	John Alroy	John Alroy	2018-04-13 10:25:36	Monumento Natural Pico Codazzi (nivel bajo)	Venezuela		Neotropic	South America	continent	10.44	-67.36	702	meters	tropical/subtropical dry broadleaf forest			other protected area		14.500			1250.0	6	66			19.25	14.71	412	48	8	0.112	0.223	14.075	0.9218	3.3344	0.9477	0.9806
2720	2883	John Alroy	John Alroy	2018-04-13 10:30:45	Monumento Natural Pico Codazzi (nivel medio)	Venezuela		Neotropic	South America	continent	10.42	-67.35	1445	meters	tropical/subtropical dry broadleaf forest			other protected area	selective logging	14.500			1250.0	6	66			21.28	23.21	62	20	6	0.129	0.258	10.235	0.8963	2.7774	0.9254	0.9053
2720	2884	John Alroy	John Alroy	2018-04-13 10:35:36	Monumento Natural Pico Codazzi (nivel alto)	Venezuela		Neotropic	South America	continent	10.42	-67.34	1915	meters	tropical/subtropical dry broadleaf forest					14.500			1250.0	6	66			19.43	22.84	130	24	8	0.169	0.338	8.651	0.8742	2.6514	0.9021	0.9387
2724	2889	John Alroy	John Alroy	2018-04-14 19:44:52	San Luis de la Paz	Mexico	Guanajuato	Nearctic	Central America	continent	21.38	-100.48			desert/xeric shrubland				grazing	16.000			332.0	22	1078			15.03	17.72	206	34	6	0.097	0.194	11.596	0.9132	3.1081	0.9414	0.9712
2725	2890	John Alroy	John Alroy	2018-04-15 12:59:58	Chorrillo	Colombia		Neotropic	South America	continent	4.43	-74.80	273	meters	tropical/subtropical dry broadleaf forest	fragment				25.700			3116.0	5	60			19.18	26.58	280	42	22	0.175	0.350	13.703	0.9094	2.8932	0.9115	0.9215
2726	2891	John Alroy	John Alroy	2018-04-15 13:14:54	Tinije	Colombia		Neotropic	South America	continent	4.90	-72.40	191	meters	tropical/subtropical savanna					26	24.500	27.500	1077.0	7	147			18.74	25.35	1186	52	4	0.209	0.418	11.112	0.8975	2.7084	0.8788	0.9966
2727	2892	John Alroy	John Alroy	2018-04-15 15:48:54	Chucantí Nature Reserve (Helipad)	Panama		Neotropic	Central America	continent	8.79	-78.45	831	meters	tropical/subtropical moist broadleaf forest	secondary forest		nature reserve		25.500			1941.0	1	1			20.83	25.88	92	16	8	0.261	0.522	5.597	0.8091	2.0002	0.8127	0.9140
2727	2893	John Alroy	John Alroy	2018-04-15 15:52:01	Chucantí Nature Reserve (Waterfall)	Panama		Neotropic	Central America	continent	8.79	-78.45	681	meters	tropical/subtropical moist broadleaf forest	secondary forest		nature reserve		25.500			1941.0	2	4			18.68	23.11	154	14	8	0.383	0.766	3.742	0.7308	1.5588	0.6959	0.9481
2727	2894	John Alroy	John Alroy	2018-04-15 15:56:53	Chucantí Nature Reserve (Potrerito)	Panama		Neotropic	Central America	continent	8.79	-78.45	733	meters	tropical/subtropical moist broadleaf forest	secondary forest		nature reserve		25.500			1941.0	2	4			20.16	23.12	168	22	10	0.339	0.679	6.766	0.8249	1.8948	0.7545	0.9409
2727	2895	John Alroy	John Alroy	2018-04-15 15:59:40	Chucantí Nature Reserve (Camp Site)	Panama		Neotropic	Central America	continent	8.80	-78.45	1141	meters	tropical/subtropical moist broadleaf forest	secondary forest		nature reserve		25.500			1941.0	2	4			24.73	25.27	40	14	6	0.225	0.450	7.657	0.8445	2.2842	0.8615	0.8550
2729	2896	John Alroy	John Alroy	2018-04-15 19:32:47	Reserva Forestal Protectora Serranía de Coraza	Colombia		Neotropic	South America	continent	9.53	-75.35			tropical/subtropical dry broadleaf forest			forest reserve		26.800			1100.0	4				20.86	23.46	210	38	10	0.071	0.143	13.559	0.9294	3.3160	0.9569	0.9526
457	2972	John Alroy	John Alroy	2018-05-30 19:09:30	Estancia Canada Mil	Paraguay	Boqueron	Neotropic	South America	continent	-22.38	-62.26			tropical/subtropical dry broadleaf forest													9.52	8.29	80	12	0	0.188	0.375	3.915	0.8326	2.3110	0.8835	1.0000
457	2973	John Alroy	John Alroy	2018-05-30 19:12:14	Estancia Chacoite	Paraguay	Boqueron	Neotropic	South America	continent	-21.19	-61.81			tropical/subtropical dry broadleaf forest													9.35	11.82	96	10	2	0.406	0.812	2.809	0.6656	1.4144	0.6610	0.9800
457	2974	John Alroy	John Alroy	2018-05-30 19:15:32	Estancia Itabo	Paraguay	Canindeyu	Neotropic	South America	continent	-24.44	-54.66			tropical/subtropical dry broadleaf forest													28.07	35.56	78	14	0	0.167	0.333	4.975	0.8659	2.4441	0.8971	1.0000
457	2975	John Alroy	John Alroy	2018-05-30 19:17:59	Estancia Loma Pora	Paraguay	Presidente Hayes	Neotropic	South America	continent	-23.50	-57.55			tropical/subtropical dry broadleaf forest													13.31	13.99	76	20	4	0.118	0.237	8.846	0.8908	2.7677	0.9256	0.9494
457	2976	John Alroy	John Alroy	2018-05-30 19:22:00	Estancia Samaklay	Paraguay	Presidente Hayes	Neotropic	South America	continent	-23.48	-59.81			tropical/subtropical dry broadleaf forest													15.16	13.46	158	20	0	0.278	0.557	6.065	0.8499	2.2969	0.8293	1.0000
457	2977	John Alroy	John Alroy	2018-05-30 19:25:01	Estancia Sombrero	Paraguay	Cordillera	Neotropic	South America	continent	-25.07	-56.60			tropical/subtropical dry broadleaf forest													26.41	31.60	70	20	8	0.171	0.343	9.354	0.8774	2.6088	0.9019	0.8873
457	2978	John Alroy	John Alroy	2018-05-30 19:28:02	Militar Gabino Mendoza	Paraguay	Alto Paraguay	Neotropic	South America	continent	-20.09	-61.79			tropical/subtropical dry broadleaf forest													12.19	10.02	92	12	2	0.293	0.587	3.684	0.7411	1.9557	0.8022	0.9787
457	2979	John Alroy	John Alroy	2018-05-30 19:30:11	Parque Nacional Serrania San Luis	Paraguay	Concepcion	Neotropic	South America	continent	-22.63	-57.36			tropical/subtropical dry broadleaf forest			national/state park										20.14	18.31	72	24	8	0.139	0.278	12.606	0.9047	2.9078	0.9296	0.8904
457	2980	John Alroy	John Alroy	2018-05-30 19:49:10	Cerro Colorado	Mexico	Michoacan	Neotropic	Central America	continent	19.32	-100.46			temperate broadleaf/mixed forest	cropland												32.53	36.10	60	14	6	0.200	0.400	5.743	0.8260	2.2102	0.8599	0.9011
2790	3022	John Alroy	John Alroy	2018-06-11 09:57:29	Mayorica	Venezuela		Neotropic	South America	continent	10.43	-68.67	160	meters	tropical/subtropical dry broadleaf forest			national/state park						7	113			16.16	22.92	742	74	28	0.150	0.299	20.450	0.9375	3.1915	0.9298	0.9623
2790	3023	John Alroy	John Alroy	2018-06-11 10:02:57	Parque Recreacional Leonor Bernabó	Venezuela		Neotropic	South America	continent	10.37	-68.75	455	meters	tropical/subtropical dry broadleaf forest			national/state park						7	114			16.36	21.89	696	42	8	0.151	0.302	9.826	0.8927	2.9886	0.9219	0.9885
2790	3024	John Alroy	John Alroy	2018-06-11 10:07:19	El Silencio	Venezuela		Neotropic	South America	continent	10.42	-68.80	1437	meters	tropical/subtropical moist broadleaf forest			national/state park						7	119			16.12	22.47	256	34	6	0.086	0.172	10.519	0.9106	3.0642	0.9409	0.9767
3224	3547	John Alroy	John Alroy	2019-09-19 19:43:23	Hacienda X-Conca	Mexico	Queretaro	Nearctic	Central America	continent	21.43	-99.67	610	meters	tropical/subtropical coniferous forest			biosphere reserve										25.85	27.20	158	18	2	0.133	0.266	5.232	0.8360	2.5630	0.9074	0.9875
3263	3607	John Alroy	John Alroy	2020-05-23 11:19:25	El Porvenir (bats)	Bolivia		Neotropic	South America	continent	-14.67	-66.75	205	meters	tropical/subtropical dry broadleaf forest	fragment	< 10 ha	unprotected						4	39			28.20	21.55	784	24	0	0.130	0.260	4.681	0.8429	2.7002	0.9183	1.0000
